Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
ISACA Certified in Risk and Information Systems Control (CRISC) Cert Prep,"<p>A Certified in Risk and Information Systems Control (CRISC) Certification by ISACA enables professionals to demonstrate their IT risk management expertise. This certification prep course provides you with a comprehensive overview of what you will need to pass the certification exam. Explore the four main domain areas covered in the certification exam: Governance, Risk Assessment, Risk Response and Reporting, and Technology and Security. Delve into IT governance, risk identification, assessment, analysis, treatment, and reporting. Review key ideas around enterprise risk management within the IT risk environment. Plus, build your knowledge of key technology and security definitions, concepts, and phrases that are key to IT risk management.</p>

<p>Use real-world examples, frameworks, and case studies to connect concepts within the ISACA prep material to your own experience. In doing so, you will learn this material not only for the exam, but for your professional experiences for years to come. </p>

<p>This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,2026-03-16 09:43 UTC,N/A,false,N/A,
AWS Certified Cloud Practitioner (CLF-C02) Cert Prep: 1 Cloud Concepts,"Amazon Web Services (AWS)—and cloud computing in general—can be difficult for people without technical backgrounds to decipher. This introductory course is a bridge between non-engineers and the cloud. It is the first in a four-part series designed to help professionals in non-technical roles, and maps to the first domain of the AWS Certified Cloud Practitioner CLF-C02 exam. Instructor Hiroko Nishimura—founder of Intro to AWS for Newbies—provides a brief history of cloud computing, an overview of cloud deployment models, and a summary of cloud design principles. She then shows how to create an account and start using the AWS Free Tier to gain hands-on experience with AWS products and services. Plus, get exam tips and learn about resources for professionals studying for the AWS Certified Cloud Practitioner exam.",Course,2025-09-10 12:51 UTC,2025-09-10 12:51 UTC,false,N/A,
Build with AI: LLM-Powered Applications with Streamlit,"<h3>Description</h3>
<h4>What is this course about?</h4>
In this hands-on course, instructor Megan Silvey shows you how to utilize Streamlit to build web applications. This open-source Python framework has become a key tool for data scientists and AI/ML engineers. In particular, learn how to design and deploy a retrieval‑augmented generation (RAG) document Q&amp;A chatbot in Streamlit using Python and OpenAI’s API. Get started with an overview of Streamlit and large language models (LLMs), along with best practices for working with AI and APIs. Next, find out how to prepare text data to create a RAG pipeline that integrates into a Streamlit chat interface. By the end of this course, you’ll be prepared to test, maintain, and deploy a fully functional chatbot on Streamlit Community Cloud. </p>

<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time, all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.</p>

<h3>Instructor</h3>
<h4>Who teaches this course?</h4>
Megan Silvey is a data science consultant and the founder of Silvey Solutions, which provides actionable, data-driven insights and has worked with the United Nations, Emeritus, phData, and BankOnIP. </p>

<h3>Objectives</h3>
<h4>What will I be able to do by the end of this course?</h4>
<ul>
<li>Properly prepare data and build a local vector store for a Streamlit chatbot.</li>
<li>Implement a retrieval‑augmented generation (RAG) pipeline that retrieves context and queries an LLM for accurate answers.</li>
<li>Create an interactive chat UI in Streamlit, manage chat history, and handle errors.</li>
<li>Deploy and maintain a RAG‑powered chatbot on Streamlit Community Cloud.</li>
</ul></p>

<h3>Audience</h3>
<h4>Who is this course for?</h4>
<ul>
<li>Python programmers in data science and machine learning looking for practical AI development skills</li>
<li>Software developers interested in web application development with AI integration</li>
<li>Professionals aiming to enhance their portfolio with AI-powered applications for potential employment opportunities</li>
</ul></p>

<h3>Prerequisites</h3>
<h4>What do I need to know before taking this course?</h4>
<ul>
<li>Basic understanding of Python programming</li>
<li>Familiarity with data analysis techniques</li>
<li>Fundamental knowledge of machine learning principles</li>
</ul></p>",Course,2026-01-27 12:25 UTC,2026-01-27 12:23 UTC,false,N/A,
Agile: It's Not Just for Software,"Software development has made agile popular and successful around the world, but did you know Agile can be used for so much more than software development? In this course, Joshua Barnes, founder of Process Mentors, as well as Certified Disciplined Agile Instructor and Certified Disciplined Agile Coach, shows you how agile principles can help you deliver value for non-software work. Joshua breaks the myth that agile is just for software, then explains options for agile methodologies so that you can choose the approach best suited to your teams. He focuses on the flexible approach of Disciplined Agile. Then Joshua walks you through how to use agile, outside of software development, to deliver value to your project through scope exploration, sizing the effort, and prioritizing based on risk and value. He covers steps to produce a consumable solution, then concludes with practical techniques for effective retrospectives.",Course,2025-11-05 16:09 UTC,2025-11-05 16:08 UTC,false,N/A,
Designing RESTful APIs,"Having a solid understanding of how to correctly build APIs is important for any developer planning on creating websites. In this course, learn how to plan and model your own APIs, and explore the six REST design constraints that help guide your architecture. Keith Casey starts with a simple overview, including advice on identifying the users or ""participants"" of your system, and the activities they might perform with it. He discusses how to validate your design before you build it, and explores the HTTP concepts and REST constraints needed to build your API. To wrap up, Keith goes over some of the most common API design patterns you may encounter.",Course,2024-07-04 14:43 UTC,2024-07-04 14:42 UTC,false,N/A,
Agile Foundations,"<p>Teams that embrace an agile mindset are often better able to respond to customer feedback and shifting business needs—and have a bit more fun in the process. Interested in bringing the principles of agile to your team? This course can help. Join Doug Rose as he steps through the fundamental concepts you need to know to start thinking like an agile team. Doug goes over the values and principles covered in the agile manifesto, as well as how to enhance communication with user stories and cross-functional teams. Discover how to respond to change the agile way, explore popular agile frameworks, and learn about the common roles on an agile team. Along the way, Doug provides you with some exercises that can help boost your team's agility and productivity.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/atlassian-agile-project-management-professional-certificate"" >Professional Certificate</a> from Atlassian.</p>",Course,2025-11-05 15:55 UTC,2025-11-05 15:55 UTC,false,N/A,
Agile Product Owner Role: Foundations,"Learn what it takes to be the product owner on an agile project team. This course clarifies the role of the product owner and looks at the mindset, techniques, and competencies critical to being successful in the job. Angela Wick defines the typical collaborators, the product roadmap and minimum viable product, and your touch points in the agile workflow, including planning, prototyping, user research, sprints, and backlog refinement. Plus, learn about the average day in the life of a product owner and get clarity on common myths: that planning, a clear scope, and documentation get in the way of agile development.",Course,2026-03-12 11:05 UTC,2026-01-27 16:46 UTC,false,N/A,
Jira: Basic Administration,"Every company needs software to track their work and report progress on their strategic initiatives. Jira, the powerful project management tool from Atlassian, is one of the most popular tracking tools used by business, development, and support teams. But for every software application, there's an administrator who needs to correctly configure the settings, manage users, complete customization requests, and ensure the application supports growth and change in an organization. This course was designed to guide application admins down the path to successful Jira administration, helping them master the tools and best practices that make a Jira instance robust and efficient. Instructor Rachel Wright covers the basic skills and processes needed to successfully administer and customize Jira. Learn how to manage users, roles, and groups; create projects; build new workflows from scratch; manage permissions and notifications; and more.",Course,2025-10-09 15:07 UTC,N/A,false,N/A,
Engaging Your Virtual Audience,"Working remotely can offer a plethora of benefits, but it’s important to preserve the authenticity that’s often easier to build and maintain in person. In this course, instructor Cassandra Worthy shows you the three components of authentic virtual communication: energy, connection, and content. Cassandra begins with energy, offering advice on how you can understand energy and avoid energetic burnout. Next, she covers how you can create authentic connections by connecting authentically with yourself, your virtual audience, and your environment. Cassandra concludes by explaining how you can structure high-impact content and make your content engaging.",Course,2025-11-07 09:44 UTC,2025-11-06 16:05 UTC,false,N/A,
How to Be an Adaptable Employee during Change and Uncertainty (2020),"The world is changing fast. That's why, as an employee, the most valuable skill you can cultivate is adaptability, so you're ready for anything. In this course, Dorie Clark shares concrete tips and strategies to become more adaptable—and embrace adaptability as an ongoing part of your life. Learn how to cultivate an adaptable mindset and build the right skills, including communication and open-mindedness. Then find out how to put your new adaptability skills into action by talking directly to your boss, taking on new tasks, and developing a positive attitude. The skills you learn in this course can help you thrive in times of crisis, and succeed no matter what the future holds.",Course,2025-09-09 09:59 UTC,2025-09-09 09:58 UTC,false,N/A,
Introduction to Linux (2021),"<p>With so many technical terms, cultural quirks, and options to pursue, getting started with Linux can seem overwhelming. In this course, instructor Scott Simpson covers the fundamentals of what you need to know in order to make smart choices about learning Linux. Scott discusses the Linux kernel, the software that allows you to interact with a computer’s hardware. He explains desktop environments, text-based terminal interfaces, and standard tools that are used on a Linux system. Scott goes over where different types of files are stored on Linux systems. He offers tips on choosing which Linux distribution, or distro, to use and helps you plan your Linux system. Scott shows you how to direct your strategy for learning Linux, then gives some tips on how to find answers and ask for help. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/network-automation-professional-certificate-by-arista-networks"" target=""_blank"">Professional Certificate</a> from Arista Networks.</p>",Course,2026-01-27 14:32 UTC,2026-01-27 14:32 UTC,true,N/A,
Applied Machine Learning: Algorithms,"<p>With the growing importance of machine learning in almost every sector, professionals need a deeper understanding and practical approach to implementing ML algorithms effectively.
 </p><p>
This course covers commonly used machine learning algorithms. Instructor Matt Harrison focuses on non-deep learning algorithms, covering PCA, clustering, linear and logistic regression, decision trees, random forests, and gradient boosting.
 </p><p>
Join Matt in this course to understand common ML algorithms, learn their pros and cons, and develop hands-on skills to leverage them by following along with challenges and solutions in GitHub Codespaces.",Course,2025-11-06 14:01 UTC,2025-11-06 13:38 UTC,false,N/A,
Hands-On Natural Language Processing,"Dexterity at deriving insight from text data is a competitive edge for businesses and individual contributors. This course with instructor Wuraola Oyewusi is designed to help developers make sense of text data and increase their relevance. This is a hands-on course teaching practical application of major natural language processing tasks. Learn how to replicate the knowledge gained into the data that you work with. This course includes a background of each task’s process flow, use cases, and a coding demo. Some of the topics covered are named entity recognition, text summarization, topic modeling, and sentiment analysis.",Course,2025-10-16 09:59 UTC,2025-10-16 09:57 UTC,false,N/A,
Python Essential Training,"<p>Python is one of the most commonly used dynamic languages for many large organizations, including Google, Yahoo, and IBM. Supported on all major operating systems, it comes pre-installed on Macs, as well as most Linux and Unix-based systems. In this course, senior software engineer Ryan Mitchell guides you through all the essentials of learning and using Python. Learn how computers think, as well as how to install Python, pip, and Jupyter Notebook and the basics of writing a program. Explore variables and types, operators, functions, classes, objects, and more. Go over basic data types like ints and floats, Booleans, and strings. Deep dive into basic data structures, control flow, functions, classes, and objects. Find out how to handle errors and exceptions, as well as threads and processes. Plus, discover how to work with different types of files in Python, pass command-line arguments to your Python script, and create modules and packages. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/openedg-python-institute-programming-with-python-professional-certificate"" target=""_blank"">Professional Certificate</a> from Python Institute.</p>",Course,2025-10-09 13:32 UTC,N/A,false,N/A,
Pep Talk Before You Attend a Networking Event,"For most people, networking doesn’t come naturally, but that doesn’t mean you need to stress about it. As you keep a few key elements in mind and master a few useful tricks, you can learn to build strong relationships and move through a networking event with grace and confidence. In this course, Dana Robinson—an entrepreneur who has founded two networking groups—shares tips about how to remember names and create conversations that are easy, fun, and engaging. Learn how to take notes, make connections, and follow up after an event. Find out how to get others talking and how to share generously, so that people remember you and what you’re all about. This course is a great way to quickly prepare yourself for an upcoming event. You can dig into the subject deeper with Dana’s other courses: <i>The Ultimate Guide to Professional Networking</i> and <i>21 Places to Find Networking Opportunities</i>.",Course,2024-06-28 12:31 UTC,2024-06-28 12:31 UTC,false,N/A,
Communicating Nonverbally,"People communicate constantly using nonverbal gestures, posture, movement, and facial expressions, but most people focus only on words. Join behavioral expert and author Vanessa Van Edwards as she shares how to spot and interpret nonverbal cues from others and how to take control of your own nonverbal communication. Vanessa also discusses how to read hidden emotions, how to show others you are engaged, and how to leverage your nonverbal communication.",Course,2025-11-11 09:24 UTC,2025-11-10 11:36 UTC,false,N/A,
Learning Computer Security and Internet Safety,"This beginner's guide to computer security shows how to prevent malware, viruses, and security breaches on your computers and networks. Instructor Jess Stratton guides you through securing your computer—with antivirus software, firewalls, and encryption—and protecting your wireless network. See how to adjust privacy and security settings in popular web browsers, avoid phishing scams, use public Wi-Fi safely, and enable two-step verification for more-secure logins. Then take steps to bolster your online privacy— including turning on “do not track” requests—as well as the privacy of others, by blurring out sensitive information in photos and emails. Check out this course to be better prepared to secure your computer and laptop and keep your information safe online.",Course,2025-11-06 15:32 UTC,2025-11-06 15:30 UTC,false,N/A,
Insider Threat Risk Management,"<p>Companies today face multiple threats, but they don’t always look like what you might expect. In fact, threats from within your organization are often the most dangerous. In this course, cybersecurity expert Mani Keerthi discusses the skills you need to know to identify, protect, detect, respond to, and recover from insider threats by developing an effective insider threat program.</p><p>Explore some of the most commonly used frameworks and practice standards to start building a program that works for you, focusing on how to adequately address people, processes, and technology as well as understanding your organization’s security limitations. Along the way, discover easy-to-follow strategies for cybersecurity managers and GRC professionals to help set up your organization  for long-term success.</p>",Course,2025-11-05 16:09 UTC,2025-11-05 16:08 UTC,false,N/A,
Interpersonal Communication,"<div><a href=""https://www.linkedin.com/newsletters/6640647216497209344?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Dorie's LinkedIn Newsletter</a></div><p>Communicating effectively isn't an innate talent that some people have and others don't—it's something that anyone can learn and practice. In this course, learn strategies that can help you hone and master your interpersonal communication skills. Join personal branding and career expert Dorie Clark as she shares techniques for getting your message across effectively in the workplace, and explains how to tackle potential communication challenges with your colleagues and supervisor. She also discusses how to grapple with tricky situations, taking you through how to handle interruptions, and respond to critical feedback.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2025-11-06 15:20 UTC,2025-11-06 14:53 UTC,false,N/A,
Processing Text with Python Essential Training,"In the world of big data, more and more information is consumed and analyzed in text form. Websites, social media, emails, and chats have become the key sources for data and insights. If you work with data, then understanding how to deal with unstructured text data is essential. In this course, instructor Kumaran Ponnambalam helps you build your text mining skill set, covering key techniques for extracting, cleansing, and processing text in Python. Kumaran reviews key text processing concepts like tokenization and stemming. He also looks at techniques for converting text into analytics-ready form, including n-grams and TF-IDF. Along the way, he provides examples of these techniques using Python and the NLTK library.",Course,2025-09-03 15:20 UTC,2025-09-03 15:16 UTC,false,N/A,
Building Resilience,"<p>In this course, psychologist Dr. Emily Anhalt helps you build mindsets, skills, and strategies to build your resilience, helping you to turn challenges into opportunities for growth, transformation, and innovation. Emily first focuses on mindsets to become more resilient, developing skills to make meaning out of challenges and setbacks and develop a growth mindset amongst disruption. She then guides you on ways to build emotional agility in order to become more resilient, with strategies to reframe challenging thoughts, face difficult truths, and build your emotional fitness. Plus, learn about an essential element of resilience—tapping into the relationships and resources around you. Finally, Emily shows you how to create a personalized resilience plan to meet current and future challenges while building your resilience. </p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/professional-soft-skills-learning-pathway"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-10-27 11:03 UTC,2025-10-27 11:02 UTC,false,N/A,
Artificial Intelligence Foundations: Machine Learning,"<p>Machine learning is the most exciting branch of artificial intelligence. It allows systems to learn from data by identifying patterns and making decisions with little to no human intervention. In this course, you'll navigate the machine learning lifecycle by getting hands-on practice training your first machine learning model. Join instructor Kesha Williams as she explores widely adopted machine learning methods: supervised, unsupervised, and reinforcement. There's a focus on sourcing and preparing data and selecting the best learning algorithm for your project. After training a model, learn to evaluate model performance using standard metrics. Finally, Kesha shows you how to streamline the process by building a machine learning pipeline. If you’re looking to understand the machine learning lifecycle and the steps required to build systems, check out this course. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/machine-learning-statistical-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,2025-11-05 15:26 UTC,2025-11-05 15:25 UTC,false,N/A,
Functional Programming with Java,"Functional programming is a way of organizing code that makes applications more scalable and maintainable. By utilizing the core concepts of immutability, data-function separation, and first-class functions, programmers can write better code. In this course, learn about the functional programming paradigm and find out how to take advantage of it with Java and object-oriented programming. Apply your learnings to real-world code and examine some of the more advanced and misunderstood concepts—such as partial-application, recursion, and composition—to become skilled in developing flexible code.",Course,2024-06-27 15:24 UTC,N/A,false,N/A,
Taking Charge of Your Career,"There is no predictable career ladder in today's workplace. Most people no longer have the security of staying in one field, one job, or even one location. Navigating your career now means being able to adapt and stay relevant. This course is designed for anyone who wants to take charge and plan the next move—whether it's choosing a career, negotiating a promotion, or changing fields. Learn to leverage your unique skills and passions to create a flexible career path that stays true to your values and allows you to adapt as needed. Career expert Christine DiDonato helps you understand the new rules of work, foster a career vision, create a career map, and get started on your next play.",Course,2025-11-06 14:00 UTC,2025-11-06 13:34 UTC,false,N/A,
Learning Jira (Data Center Edition),"Jira is for task tracking, request tracking, and project management. As organizations continue to adopt digital technology, more and more teams are leveraging Jira to track work and help teams meet goals. Jira is already the industry standard for software development teams and increasingly, other teams, like marketing, legal, IT, and finance are adopting it as well. By learning Jira you’ll be able to easily manage your own daily tasks and help your organization plan their strategic initiatives. In this course, instructor Rachel Wright teaches you about navigating Jira, working with projects and issues, and creating filters, dashboards, and boards. Join Rachel to learn how to create and edit issues, estimate time and effort, create custom views, search for and find issues, and adjust preferences so Jira works best for you.",Course,2025-10-09 15:11 UTC,N/A,false,N/A,
Igniting Emotional Engagement for Influence and Buy-In,"In the age of AI, the capacity to inspire emotional engagement, have influence, and gain buy-in will be super-skills. In this course, learn to tap into your own sense of purpose to stoke your own emotional engagement as well as practical strategies to effectively communicate and build emotional engagement in order to influence others and secure buy-in for your ideas. Learn to recognize situations and ideas that require emotional buy-in, who to engage, and ways to align your idea with what matters to others. Then, find out how to develop a clear ask, use language that stokes engagement in others, and ways to build engagement even when communicating remotely and ways to sustain that engagement. Discover strategies to work through and around obstacles to secure lasting engagement and buy-in with your projects, initiatives, and ideas.",Course,2026-03-25 13:32 UTC,N/A,false,N/A,
Learning Adobe Audition,"Adobe Audition is a powerful tool for recording, editing, enhancing, and mixing audio of all kinds. It's also a deep program that can seem intimidating at first, but don’t let that stop you from exploring. In this course, author of the official <i>Adobe Audition Classroom in a Book</i> Maxim Jago breaks it down for you, outlining the key features and processes involved in creating great-sounding audio with Audition. An ideal fit for podcasters, audio producers, and video producers working with audio, this course equips you with the skills you need to produce and share exceptional audio content on your next project.",Course,2025-07-08 15:25 UTC,N/A,false,N/A,
Creating Success from Failures,"Most people cringe at failure and avoid it whenever possible. Failing isn’t pleasant, but it isn’t fatal. In this course, executive coach Audrey Genevieve Daniels draws on her long experience leading organizations through disruptive change to help you to evolve from past failures and move past adversity stronger than before. Audrey shares actionable insights that help you not just to own your failures, but to thrive because of them. She shows you how to use mindfulness as a superpower to embrace failures as opportunities to grow. Audrey explains how to unlock the secrets of self-awareness that help keep negative thoughts under control. She goes into how to master your own preparedness and face failures head-on, adopting a growth mindset that gets your mind back into critical thinking mode. She discusses how to break the cycle of self-blame that holds your leadership journey back, then concludes with how to shut down self-doubt and unleash the leader you know is inside of you.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2025-10-27 10:22 UTC,2025-10-27 10:21 UTC,false,N/A,
Excel: Power Pivot for Beginners,"The Power Pivot feature in Microsoft Excel for Windows allows you to import, merge, and analyze data from many sources. Many people assume Power Pivot is a complex feature reserved for advanced users. Not so! In this short course, instructor Josh Rischin debunks myths around Power Pivot, explaining what it is and the best way to use it. Josh takes you through building a basic data model by identifying your data sources and creating data relationships. He then shows how to analyze the data and present your results using PivotTables and PivotCharts.",Course,2025-11-05 15:59 UTC,2025-11-05 15:57 UTC,false,N/A,
Deep Learning with Python: Sequence Models and Transformers,"This course focuses on sequence models and transformers, essential for tasks involving sequential data such as time series analysis and natural language processing (NLP). Emphasizing practical applications, the course includes hands-on coding exercises. Instructor Fred Nwanganga explains what sequence data is, common sequence data problems, recurrent neural networks and its variants, transformers, and how to solve
several types of sequence data problems using pre-trained transformer models in
Python.",Course,2025-11-11 12:46 UTC,N/A,false,N/A,
Creating Business and Industry Analysis for Financial Analysts,"Elevate your business and industry analysis skills in this course that goes beyond basic financials to give you the ability to paint a vivid picture of a business' health, competitive landscape, and strategic opportunities. Unlock career advancement opportunities and gain a competitive advantage over your peers by not just analyzing data but understanding all the facets of a business. Instructor Hailey Margetta delves into the intricacies of a company's business background, products, customer base, and supplier network. She explores the broader industry landscape, examining economic, technological, social, and cultural factors that influence industry dynamics and drive change. By understanding these interconnected elements, you’ll be able to develop insightful and actionable analyses that inform strategic decision-making.",Course,2026-04-20 10:16 UTC,N/A,false,N/A,
Advanced Hands-On Python: Working with Excel and Spreadsheet Data,"In this hands-on course, technology industry veteran Joe Marini guides you through a variety of practical ways that you can leverage Python to work more effectively with data from spreadsheets and Excel. Find out how to read and write CSV data, as well as how to convert data to and from CSV. Learn how Python can help you in creating, reading, and writing Excel workbooks. Plus, explore ways you can use Python when you’re working with Excel sheet data and formulas.",Course,2026-03-06 09:56 UTC,N/A,false,N/A,
DevOps Foundations: Microservices,"<p>DevOps methods and technologies are even more powerful when combined with microservice architectures. Microservices are especially useful in large-scale enterprise systems, but they can come with high costs, complexity, and demanding operational overhead. That’s why IT teams use DevOps methods and techniques to develop, test, deploy, and operate complex microservice architectures at scale.</p><p>This course focuses on microservices from a DevOps lens and perspective. Join instructor Dave Swersky as he breaks down both topics separately, before demonstrating how they work together to support large-scale, cloud-native systems and application architectures. By the end of this course, you’ll be equipped with a richer understanding of both DevOps and microservices, as well as how they can be combined in each phase of the software delivery lifecycle, from design and planning to deployment, management, and operations.</p>",Course,2025-11-18 10:11 UTC,2025-11-18 10:10 UTC,false,N/A,
Complete Guide to C++ Programming Foundations,"Discover the full potential of the C++ programming language with our <i>Complete Guide to C++ Programming Foundations</i>. Starting with the fundamentals and moving on to more advanced topics like the Standard Template Library, this course will equip you with the skills you need to succeed as a C++ developer. Through a series of detailed lecture videos and coding challenges, gain practical experience and learn how to write efficient, maintainable code. Whether you're looking to start a career in software development or simply expand your programming skills, this course is for you.",Course,2026-05-20 08:32 UTC,N/A,false,N/A,
Learning GitLab,"Source control is an essential part of software development, and Git has become the standard source control tool across the industry. Learn the core concepts of Git version control in this course with hands-on practice using GitLab, a free open-source code management platform. Instructor Josh Samuelson begins with creating a blank project on gitlab.com and takes you through the main pieces of a typical development workflow using Git. Learn how Git itself works by exploring branching and commit history, and how to work with Git in a team setting using collaboration features.",Course,2025-10-27 15:04 UTC,2025-10-27 15:02 UTC,false,N/A,
DevOps Foundations: Monitoring and Observability,"Monitoring is a key practice area of modern operations. Even as we innovate and evolve our processes, there is still a fundamental need to understand and measure the reliability and performance of our infrastructure and products. In this course, explore techniques and tools for monitoring from a DevOps mindset. Instructor Ibukunoluwa Itimi covers all the functional areas of monitoring (synthetic, real user, system, app, and more) that compose an application stack and describe best practices around implementing, analyzing, and using monitoring.",Course,2025-11-06 11:27 UTC,2025-11-06 11:21 UTC,false,N/A,
Local AI: Build a RAG Model from Scratch with Open-Source Tools,"In this hands-on course, physicist and educator Dr. Alaa Moussawi guides you toward mastery of Retrieval-Augmented Generation (RAG) models. Learn to construct your own custom AI bots by integrating vector databases with language models for contextually accurate responses. Explore essential concepts such as vector embeddings, query processing, and prompt engineering. Learn how to optimize your resources by running lightweight models efficiently, even on limited hardware. Find out how to generate effective vector embeddings and extract relevant information from diverse data sources. Benefit from the flexibility of open-source software as you adapt the models to specific domains or styles, while customizing the knowledge base of your bot. Keep innovating and pushing boundaries with retrieval-augmented intelligence and join the vibrant open-source community in this exploratory learning adventure.",Course,2026-02-06 09:25 UTC,N/A,false,N/A,
Generative NLP with Variational AutoEncoders,"<p>There’s so much going on in the world of AI right now that it can seem impossible to feel like you’re on track. This is especially true for models that generate text. Which ones should you use, how should you use them, and when?</p><p>In this course, join instructor Axel Sirota as he offers an in-depth overview of variational autoencoders (VAEs) specifically focused on how to create complex models in Keras, how to create denoising autoencoders, and how to create VAEs for text generation. Throughout the course, Alex provides hands-on demonstrations and exercise challenges to test out your new skills.</p>",Course,2025-12-30 10:59 UTC,2025-12-30 10:51 UTC,false,N/A,
Happiness Habits,"Wouldn’t it be great to create more happiness in your life? But how do you fully take control of your experience? While we all have unique life circumstances, our individual happiness is still always under our control. In this course, best-selling author and keynote speaker Scott Mautz shows you a series of repeatable, powerful, research-backed exercises designed to help you create habits for happiness. Discover that how you experience the world, how you spend your time, how you think, and how you interact with others all impact your happiness level. Along the way, develop enjoyment-inducing routines to promote happiness in each of these areas. By the end of this course, you’ll be prepared to start cultivating your new habits through a tailored routine for greater fulfillment.",Course,2024-07-01 11:48 UTC,N/A,false,N/A,
Playwright: Design Patterns,"In this course, learn how to leverage design patterns to enhance your test automation framework using Playwright. By understanding and implementing patterns such as the Page Object Model, fixtures, and data-driven testing, you'll be able to write cleaner, more maintainable, and scalable test scripts. This course is designed for test automation engineers and developers who want to improve their testing skills and ensure their tests are robust and easy to maintain. Through practical examples and hands-on exercises, gain the knowledge and skills needed to apply these design patterns effectively in your projects.",Course,2026-06-12 07:10 UTC,N/A,false,N/A,
Learning ITIL®,"The Information Technology Infrastructure Library (ITIL)  is a leading source of IT service management guidance. Millions of IT professionals are ITIL certified, many organizations and vendors have adopted ITIL and embedded it into their IT management software. In this course, David Pultorak introduces you to ITIL, covering the basics of both current versions of this popular approach to IT service management: ITIL® v3 and ITIL® 4. Starting with ITIL® v3—retired as a certification path in 2022 but still widely used—David explains the service lifecycle, processes and functions, and roles, technology, and automation. He then compares the major differences in ITIL® 4: the four dimensions, the service value system, the service value chain, and the guiding principles and practices. David also helps you learn the basics of ITIL® certification, including the ITIL® v3 and 4 certification schemes, and provides tips for passing the certification exam.",Course,2025-11-06 15:56 UTC,2025-11-06 15:56 UTC,false,N/A,
Building Real-Time Web Apps with Spring Boot and WebSockets,"Nearly all of today's most popular chat apps and collaboration platforms offer immediate feedback, allowing users to exchange instant messages and see when their peers are typing responses. If you're looking to get up to speed on real-time app development for work—or you just want to diversify your development repertoire—then this course can help. Join Shonna Smith as she shows how to build upon your existing enterprise Java development skill set to develop a real-time web app with the Spring framework and WebSocket API. As she walks through how to build a chat app, Shonna goes over the design elements specific to real-time web apps, as well as how to develop and test the server-side and client-side components.",Course,2024-07-01 09:20 UTC,2024-07-01 09:20 UTC,false,N/A,
gRPC in Go,"<p>A growing number of companies use gRPC, a popular framework that writes services and clients. In this course, Miki Tebeka presents an overview of gRPC, then shows you the protocol buffers serialization format, as well as how to write a gPRC definition file (.proto), write gRPC servers and clients, and use advanced gRPC features like streaming, reflection, and more. Learn about RPC in general, then go into protocol buffers, how gRPC use them, why gRPC chose HTTP/2, and how the gRPC ecosystem works. Explore writing and compiling a .proto file, using generated code, and generating JSON encoding. Dive into gRPC servers and clients, and discover how to define a streaming endpoint, send streaming data to the client, and handle streaming responses from the server. Plus, go over advanced topics like writing interceptors, sharing .proto definitions, testing your code, and using the gRPC gateway.</p>",Course,2025-12-17 15:10 UTC,N/A,false,N/A,
